audit_id,role,nct_id,registry_link,endpoint_title,extracted_responders,extracted_denominator,human_strict_orr,human_actual_endpoint_type,auditor_notes
R4-01,component,NCT03301350,https://clinicaltrials.gov/study/NCT03301350,Number and Percentage of Participants With Pathologic Complete Response (pCR) Rate,8.0,24.0,no,pCR,"Absence of residual invasive cancer in resected breast/nodes after neoadjuvant therapy. (Registry description oddly claims pCR 'assessed according to RECIST 1.1', but the endpoint is pathologic CR, not ORR.)"
R4-02,query,NCT02342275,https://clinicaltrials.gov/study/NCT02342275,The Primary Outcome Measure Was Any Response at 6 Months,178,190,no,custom lesion response (infantile hemangioma),Benign-tumor (hemangioma) response by size/color: any of complete / nearly complete / partial per study-specific criteria; includes color-only changes. Not an oncology objective-response endpoint.
R4-03,component,NCT01441947,https://clinicaltrials.gov/study/NCT01441947,Bone Scan Response Rate,20.0,52.0,no,bone scan response,"CR/PR of radiotracer uptake on isotope bone scan per protocol-specific Bone Scan Time Point Response Criteria - imaging-modality-specific, not RECIST-type objective response."
R4-04,component,NCT01274351,https://clinicaltrials.gov/study/NCT01274351,Percentage of Participants Who Achieved Major Molecular Response (MMR) During the First 12 Months,74.0,112.0,no,molecular response (MMR),"BCR-ABL1(IS) <=0.1% by 12 months - molecular response, explicitly excluded."
R4-05,query,NCT02471716,https://clinicaltrials.gov/study/NCT02471716,"The Incidence of Investigator-assessed, Confirmed Objective Responses (ORR) Per RECIST 1.1 (Phase 2)",8,32,yes,"ORR (CR+PR, RECIST 1.1, confirmed)","Confirmed objective responses per RECIST 1.1, investigator-assessed."
R4-06,query,NCT02823574,https://clinicaltrials.gov/study/NCT02823574,Objective Response Rate (ORR) as Determined by Blinded Independent Central Review (BIRC) - Platinum Refractory Subgroup,21,159,yes,"ORR (CR+PR, RECIST-defined, BICR)",BOR of CR or PR / randomized participants; CR and PR defined per RECIST-style rules in description.
R4-07,query,NCT03745716,https://clinicaltrials.gov/study/NCT03745716,Complete Response Rate (CR),27,78,no,CR only,Complete remission rate only (MDS); no PR component.
R4-08,component,NCT02832167,https://clinicaltrials.gov/study/NCT02832167,Objective Response Rate (ORR),19.0,239.0,yes,"ORR (confirmed CR+PR, RECIST 1.1)","BOR of confirmed CR or PR per RECIST 1.1, investigator-assessed."
R4-09,component,NCT00254410,https://clinicaltrials.gov/study/NCT00254410,Clinical Response Rate at 3 Months,29.0,30.0,ambiguous,clinical response (NCI-WG + flow cytometry) at 3 months,Description says 'combined morphological [NCI-WG criteria] + flow cytometry criteria' without enumerating which response categories (CR/PR/nPR) count as response; flow-cytometry component suggests MRD-flavored composite. Insufficient to confirm strict CR+PR ORR; also a 3-month landmark.
R4-10,component,NCT01178944,https://clinicaltrials.gov/study/NCT01178944,Overall Response Rate,8.0,31.0,yes,"ORR (CR+PR, RECIST 1.1, confirmed)","OR = CR + PR per RECIST v1.1, responses confirmed at 4 weeks."
